CLIENTNUM,Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
719036883,Existing Customer,48,Female,1,Uneducated,Divorced,Less than $40K,Blue,38,3,3,2,4668.0,0,4668.0,0.896,4163,77,0.453,0.0
713070033,Existing Customer,56,Female,2,Graduate,Single,Less than $40K,Blue,43,5,3,2,1438.3,787,651.3,0.737,4830,79,0.756,0.547
820276908,Attrited Customer,42,Female,4,College,Married,$40K - $60K,Blue,37,3,3,1,4139.0,0,4139.0,0.547,2232,41,0.464,0.0
721508283,Existing Customer,47,Female,1,Graduate,Married,Less than $40K,Blue,36,4,2,1,8322.0,0,8322.0,0.86,3700,62,1.0,0.0
756727233,Existing Customer,49,Male,2,High School,Single,$120K +,Blue,42,3,2,4,21144.0,1190,19954.0,0.5,4895,66,0.784,0.056
798011733,Existing Customer,53,Female,3,Graduate,Married,Less than $40K,Blue,47,4,1,2,1562.0,751,811.0,0.925,4574,81,0.976,0.481
718357458,Existing Customer,48,Male,5,Unknown,Single,$60K - $80K,Blue,36,2,3,0,3862.0,0,3862.0,0.807,15282,125,0.712,0.0
817968783,Existing Customer,51,Female,3,Graduate,Single,Less than $40K,Blue,46,6,3,1,2927.0,1499,1428.0,0.649,4670,70,0.944,0.512
770858283,Existing Customer,40,Female,4,High School,Married,$40K - $60K,Blue,27,5,2,2,2822.0,2182,640.0,0.768,5371,93,0.824,0.773
713398158,Existing Customer,45,Male,3,Post-Graduate,Married,$40K - $60K,Blue,30,2,2,2,3821.0,1673,2148.0,0.869,15005,89,0.712,0.438
812420358,Attrited Customer,61,Female,0,Graduate,Married,Less than $40K,Blue,56,3,3,3,2122.0,554,1568.0,0.857,949,17,0.133,0.261
720326733,Existing Customer,55,Male,2,Graduate,Single,$120K +,Blue,47,2,3,1,16258.0,865,15393.0,0.623,3761,58,0.657,0.053
779141658,Existing Customer,48,Male,4,Graduate,Married,$80K - $120K,Blue,33,1,3,2,4963.0,2115,2848.0,0.767,4989,78,0.696,0.426
718205283,Existing Customer,48,Female,3,College,Single,$40K - $60K,Blue,37,6,3,1,1438.3,0,1438.3,0.777,5035,76,0.767,0.0
809620833,Existing Customer,35,Female,3,Unknown,Single,Unknown,Blue,30,3,3,2,9293.0,0,9293.0,0.897,2314,59,1.034,0.0
719584608,Existing Customer,40,Male,4,High School,Unknown,$40K - $60K,Blue,32,3,1,1,1438.3,0,1438.3,0.657,4215,79,0.927,0.0
713419908,Existing Customer,58,Female,2,High School,Married,Unknown,Blue,50,3,2,3,12362.0,0,12362.0,0.635,4537,72,0.636,0.0
711341433,Existing Customer,34,Female,2,Graduate,Single,Unknown,Blue,24,6,3,3,3095.0,2010,1085.0,0.668,3901,77,0.711,0.649
716454858,Existing Customer,35,Female,2,Graduate,Married,Less than $40K,Blue,28,6,1,3,4014.0,2266,1748.0,0.718,14257,94,0.958,0.565
712506708,Existing Customer,39,Female,3,College,Single,Less than $40K,Blue,25,6,1,2,3920.0,2008,1912.0,0.944,3178,53,0.656,0.512
772721208,Existing Customer,50,Male,2,High School,Single,$60K - $80K,Blue,40,4,3,3,17655.0,1720,15935.0,0.706,16293,120,0.739,0.097
718837683,Existing Customer,55,Male,2,High School,Single,$120K +,Blue,49,6,3,4,3029.0,1505,1524.0,0.56,2394,50,0.471,0.497
720070383,Existing Customer,41,Female,3,Uneducated,Single,Unknown,Blue,29,6,3,3,2429.0,1966,463.0,1.046,4775,84,0.787,0.809
714148758,Existing Customer,34,Female,2,Post-Graduate,Married,Less than $40K,Blue,27,2,3,3,1726.0,1398,328.0,1.009,5228,68,0.7,0.81
779126658,Existing Customer,26,Female,0,Graduate,Single,$40K - $60K,Blue,13,5,1,2,5655.0,0,5655.0,0.842,2312,61,0.649,0.0
713442933,Existing Customer,49,Male,3,Unknown,Married,$40K - $60K,Blue,32,4,3,3,3114.0,2208,906.0,0.824,5219,86,0.686,0.709
794843883,Existing Customer,41,Male,3,High School,Married,$80K - $120K,Blue,35,6,1,2,34516.0,1202,33314.0,0.603,1353,33,0.737,0.035
709762008,Existing Customer,48,Female,4,High School,Married,Less than $40K,Blue,38,5,1,1,2090.0,793,1297.0,0.64,4619,78,0.733,0.379
771288258,Existing Customer,48,Female,3,Unknown,Unknown,$40K - $60K,Blue,36,6,2,2,2545.0,1894,651.0,0.911,4660,68,0.789,0.744
714075708,Existing Customer,48,Male,4,Uneducated,Divorced,$80K - $120K,Gold,38,4,3,1,34516.0,1426,33090.0,0.621,4814,71,0.69,0.041
709123908,Existing Customer,43,Female,2,Graduate,Married,$40K - $60K,Blue,36,2,3,2,4287.0,0,4287.0,0.807,4874,82,0.708,0.0
719192808,Existing Customer,51,Male,4,Graduate,Single,$120K +,Blue,36,2,1,1,3168.0,2147,1021.0,0.663,4674,71,0.821,0.678
715995933,Existing Customer,46,Male,0,Graduate,Single,$120K +,Blue,36,6,2,1,2692.0,1631,1061.0,0.99,4619,83,0.694,0.606
714752208,Existing Customer,42,Female,1,Graduate,Married,Less than $40K,Blue,36,5,1,2,2393.0,1985,408.0,0.788,978,16,0.778,0.83
720753183,Existing Customer,48,Male,2,Post-Graduate,Married,$40K - $60K,Blue,36,4,3,2,9617.0,2035,7582.0,1.004,4247,76,0.854,0.212
789280683,Existing Customer,56,Male,2,Graduate,Single,$120K +,Blue,45,2,2,3,11714.0,898,10816.0,0.726,13956,122,0.718,0.077
770146008,Existing Customer,59,Male,1,Graduate,Single,$40K - $60K,Blue,53,4,3,2,2136.0,1502,634.0,0.648,1908,37,0.37,0.703
712627083,Attrited Customer,38,Male,4,Uneducated,Married,$80K - $120K,Blue,25,5,2,4,5768.0,0,5768.0,0.924,9867,78,0.902,0.0
712494108,Existing Customer,38,Male,2,Post-Graduate,Single,$60K - $80K,Silver,36,3,3,4,34516.0,1954,32562.0,0.436,1872,52,0.486,0.057
715269483,Existing Customer,50,Male,4,Post-Graduate,Married,$120K +,Blue,36,4,1,3,17374.0,2517,14857.0,0.743,15473,128,0.707,0.145
719609433,Existing Customer,55,Female,4,Uneducated,Divorced,$40K - $60K,Blue,43,5,3,2,1965.0,1525,440.0,0.855,4671,69,0.816,0.776
718410258,Existing Customer,37,Male,3,High School,Unknown,$80K - $120K,Blue,28,5,4,4,13441.0,0,13441.0,0.513,4207,80,0.702,0.0
719813058,Existing Customer,44,Female,5,Unknown,Married,Less than $40K,Blue,34,2,1,3,2490.0,1235,1255.0,0.823,8065,88,0.76,0.496
714547458,Existing Customer,65,Male,0,Graduate,Married,$40K - $60K,Blue,56,3,3,2,2297.0,0,2297.0,0.511,1941,51,0.417,0.0
